file_name,sentence_id,datadate,sentence
2025-May-01-AAPL.OQ-139206802972-Transcript.txt,1,"May 01, 2025","

LSEG StreetEvents Event Transcript
E D I T E D  V E R S I O N

Q2 2025 Apple Inc Earnings Call
May 01, 2025 / 9:00PM UTC

================================================================================
Corporate Participants
================================================================================

 * Suhasini Chandramouli
   Apple Inc - Director of Investor Relations
 * Timothy Cook
   Apple Inc - Chief Executive Officer, Director
 * Kevan Parekh
   Apple Inc - Senior Vice President, Chief Financial Officer

================================================================================
Conference Call Participants
================================================================================

 * Operator
   
 * Erik Woodring
   Morgan Stanley - Analyst
 * Ben Reitzes
   Melius Research - Analyst
 * Michael Ng
   Goldman Sachs - Analyst
 * Amit Daryanani
   Evercore ISI - Analyst
 * Wamsi Mohan
   BofA Global Research - Analyst
 * David Vogt
   UBS - Analyst
 * Samik Chatterjee
   JPMorgan - Analyst
 * Krish Sankar
   TD Cowen - Analyst
 * Richard Kramer
   Arete Research - Analyst
 * Aaron Rakers
   Wells Fargo Securities, LLC - Analyst

================================================================================
presentation
--------------------------------------------------------------------------------
Suhasini Chandramouli, Apple Inc - Director of Investor Relations    [1]
--------------------------------------------------------------------------------
Good afternoon, and welcome to the Apple Q2 fiscal year 2025 earnings conference call."
2025-May-01-AAPL.OQ-139206802972-Transcript.txt,2,"May 01, 2025","My name is Suhasini Chandramouli, Director of Investor Relations."
2025-May-01-AAPL.OQ-139206802972-Transcript.txt,19,"May 01, 2025","And we are proud to increase our impact around the world, including here in the United States, where we recently announced plans to spend $500 billion over the next four years."
2025-May-01-AAPL.OQ-139206802972-Transcript.txt,55,"May 01, 2025","From starting their morning with their podcast of choice to buying a coffee with Apple Pay to spending an afternoon reading the latest bestseller on Apple Books to using their favorite app from the App Store or an evening workout with Fitness+, Apple's Services are enriching our users' lives all throughout their day."
2025-May-01-AAPL.OQ-139206802972-Transcript.txt,84,"May 01, 2025","However, for some color, assuming the current global tariff rates, policies, and applications do not change for the balance of the quarter and no new tariffs are added, we estimate the impact to add $900 million to our costs."
2025-May-01-AAPL.OQ-139206802972-Transcript.txt,86,"May 01, 2025","For our part, we will manage the company the way we always have, with thoughtful and deliberate decisions, with a focus on investing for the long term, and with dedication to innovation and the possibilities it creates."
2025-May-01-AAPL.OQ-139206802972-Transcript.txt,103,"May 01, 2025",Operating cash flow was also strong at $24 billion.
2025-May-01-AAPL.OQ-139206802972-Transcript.txt,130,"May 01, 2025",Organizations are investing more on Apple products and services to drive productivity and employee engagement.
2025-May-01-AAPL.OQ-139206802972-Transcript.txt,137,"May 01, 2025",We ended the quarter with $133 billion in cash and marketable securities.
2025-May-01-AAPL.OQ-139206802972-Transcript.txt,138,"May 01, 2025","We had $3 billion in debt maturities and increased commercial paper by $4 billion, resulting in $98 billion in total debt."
2025-May-01-AAPL.OQ-139206802972-Transcript.txt,139,"May 01, 2025","Therefore, at the end of the quarter, net cash was $35 billion."
2025-May-01-AAPL.OQ-139206802972-Transcript.txt,140,"May 01, 2025","During the quarter, we returned $29 billion to shareholders."
