id,invest_plan,invest_target,invest_amount
1,0,,
2,0,,
19,1,United States,500000000000
55,0,,
84,0,,
86,0,,
103,0,,
130,0,,
137,0,,
138,0,,
139,0,,
140,0,,
141,0,,
142,1,share repurchases,100000000000
149,0,,
151,0,,
153,0,,
170,0,,
185,0,,
244,0,,
296,0,,
325,0,,
334,0,,
336,0,,
339,0,,
342,1,expansion of facilities in multiple states,
344,0,,
362,0,,
373,0,,
374,0,,
376,0,,
390,0,,
395,0,,
399,0,,
402,0,,
411,0,,
412,0,,
433,0,,
434,0,,
455,0,,
462,0,,
470,1,innovation and transformative tools,
476,0,,
524,0,,
541,0,,
559,0,,
568,0,,
569,0,,
570,0,,
571,0,,
582,0,,
585,0,,
625,0,,
712,0,,
757,0,,
760,0,,
796,1,AI,
823,0,,
833,0,,
835,0,,
856,0,,
857,0,,
872,0,,
892,0,,
927,0,,
949,0,,
960,0,,
962,0,,
970,0,,
971,0,,
972,0,,
973,0,,
982,0,,
985,0,,
1034,0,,
1069,0,,
1086,0,,
1122,0,,
1128,0,,
1160,0,,
1194,0,,
1236,0,,
1285,0,,
1287,0,,
1290,0,,
1291,0,,
1294,0,,
1295,0,,
1298,0,,
1299,0,,
1300,0,,
1309,0,,
1311,0,,
1318,0,,
1336,0,,
1337,0,,
1341,0,,
1342,0,,
1351,0,,
1380,0,,
